ticker,cik,fiscal_year,revenue,ebit,ebitda,interest_expense,tax_expense,net_income,d_and_a,capex,assets_current,liabilities_current,cash,short_term_borrowings,long_term_debt_current,long_term_debt_noncurrent,gross_debt,net_debt,shares_out,nwc,delta_nwc,effective_tax_rate
CSCO,0000858877,2024,,12181000000,12881000000,,1914000000,10320000000,700000000,670000000,36862000000,40584000000,7508000000,,488000000,19621000000,20109000000,12601000000,,-11718000000,-11901000000,0.15644923982344286
CSCO,0000858877,2025,,11760000000,12460000000,,920000000,10180000000,700000000,905000000,34986000000,35064000000,8346000000,,1750000000,22861000000,24611000000,16265000000,,-10174000000,1544000000,0.08288288288288288
NFLX,0001065280,2020,6644442000,4585289000,4700999000,767499000,437954000,542156000,115710000,497923000,9761580000,7805785000,8205550000,499878000,,15809095000,16308973000,8103423000,,-6749633000,,0.44684168103580213
NFLX,0001065280,2021,29697844000,6194509000,6402921000,765620000,723875000,5116228000,208412000,524585000,8069825000,8488966000,6027804000,699823000,,14693072000,15392895000,9365091000,,-7146768000,-397135000,0.1239490125431007
NFLX,0001065280,2022,31615550000,5632831000,5969513000,706212000,772005000,4491924000,336682000,407729000,9266473000,7930974000,5147176000,0,,14353076000,14353076000,9205900000,,-3811677000,3335091000,0.14665946292208729
NFLX,0001065280,2023,33723297000,6954003000,7310950000,699826000,797415000,5407990000,356947000,348552000,9918133000,8860655000,7116913000,399844000,,14143417000,14543261000,7426348000,,-6459279000,-2647602000,0.12850329672277636
NFLX,0001065280,2024,39000966000,10417614000,10746528000,,1254026000,8711631000,328914000,439538000,13100379000,10755400000,7804733000,1784453000,,13798351000,15582804000,7778071000,,-7244207000,-784928000,0.1258347542966811
DIS,0001744489,2020,14707000000,606000000,5951000000,1647000000,699000000,-710000000,5345000000,4022000000,35251000000,26628000000,17914000000,,5711000000,52917000000,58628000000,40714000000,,-15002000000,,
DIS,0001744489,2021,67418000000,7766000000,12877000000,1546000000,25000000,1995000000,5111000000,3578000000,33657000000,31077000000,15959000000,,5866000000,48540000000,54406000000,38447000000,,-19245000000,-4243000000,0.012376237623762377
DIS,0001744489,2022,82722000000,12121000000,17284000000,1549000000,1732000000,3145000000,5163000000,4943000000,29098000000,29073000000,11615000000,,3070000000,45299000000,48369000000,36754000000,,-14660000000,4585000000,0.35513635431617796
DIS,0001744489,2023,88898000000,12863000000,18232000000,-1973000000,1379000000,2354000000,5369000000,4969000000,32763000000,31139000000,14182000000,,4330000000,42101000000,46431000000,32249000000,,-16888000000,-2228000000,0.3694079828556121
DIS,0001744489,2024,91361000000,15601000000,20591000000,-2070000000,1796000000,4972000000,4990000000,5412000000,25241000000,34599000000,6002000000,,6845000000,38970000000,45815000000,39813000000,,-22205000000,-5317000000,0.2653664302600473
V,0001403161,2020,21846000000,14081000000,14848000000,,2924000000,10866000000,767000000,38000000,27645000000,14510000000,16289000000,,2999000000,21071000000,24070000000,7781000000,,-6153000000,,0.212037708484409
V,0001403161,2021,,15804000000,16608000000,,3752000000,12311000000,804000000,41000000,27607000000,15739000000,16487000000,,999000000,19978000000,20977000000,4490000000,,-5618000000,535000000,0.23358027765672665
V,0001403161,2022,,18813000000,19674000000,,3179000000,14957000000,861000000,56000000,30205000000,20853000000,15689000000,,2250000000,20200000000,22450000000,6761000000,,-8587000000,-2969000000,0.17528672254080283
V,0001403161,2023,,21000000000,21943000000,,3764000000,17273000000,943000000,96000000,33532000000,23098000000,16286000000,,0,20463000000,20463000000,4177000000,,-5852000000,2735000000,0.1789228502162856
V,0001403161,2024,,23595000000,24629000000,,4173000000,19743000000,1034000000,52000000,34033000000,26517000000,11975000000,,0,20836000000,20836000000,8861000000,,-4459000000,1393000000,0.17448569994982438
MA,0001141391,2020,15301000000,8081000000,8661000000,380000000,1349000000,,580000000,339000000,19113000000,11847000000,10113000000,,649000000,12023000000,12672000000,2559000000,,-3496000000,,
MA,0001141391,2021,18884000000,10082000000,10808000000,431000000,1620000000,,726000000,407000000,16949000000,13162000000,7421000000,,792000000,13109000000,13901000000,6480000000,,-4426000000,-930000000,
MA,0001141391,2022,22237000000,12264000000,13014000000,471000000,1802000000,,750000000,442000000,16606000000,14171000000,7008000000,,274000000,13749000000,14023000000,7015000000,,-4847000000,-421000000,
MA,0001141391,2023,25098000000,14008000000,14807000000,575000000,2444000000,,799000000,371000000,18961000000,16264000000,8588000000,,1337000000,14344000000,15681000000,7093000000,,-7228000000,-2381000000,
MA,0001141391,2024,28167000000,15582000000,16479000000,,2380000000,,897000000,474000000,19724000000,19220000000,8442000000,,750000000,17476000000,18226000000,9784000000,,-8688000000,-1460000000,
JPM,0000019617,2020,119543000000,35407000000,,9960000000,6276000000,29131000000,,,,,,45208000000,,,45208000000,,,,,0.17725308554805547
JPM,0000019617,2021,121649000000,59562000000,,5553000000,11228000000,48334000000,,,,,,53594000000,,,53594000000,,,,,0.1885094523353816
JPM,0000019617,2022,128695000000,46166000000,,26097000000,8490000000,37676000000,,,,,,44027000000,,,44027000000,,,,,0.18390157258588571
JPM,0000019617,2023,158104000000,61612000000,61927000000,81321000000,12060000000,49552000000,315000000,,,,,44712000000,,,44712000000,,,,,0.1957410893981692
JPM,0000019617,2024,177556000000,75081000000,75420000000,,16610000000,58471000000,339000000,,,,,52893000000,,,52893000000,,,,,0.22122774070670342
